Season,#ofTeams,Champion,Runner-up,East Conf Finalist,West Conf Finalist,East Semis1,East Semis2,West Semis1,West Semis2,East Quarters1,East Quarters2,East Quarters3,East Quarters4,West Quarters1,West Quarters2,West Quarters3,West Quarters4,Est. Teams,SC - Cap Hit,Salary Cap
2019,30,Toronto,Golden State,Milwaukee,Portland,Boston,Philadelphia,Houston,Denver,Detroit,Indiana,Brooklyn,Orlando,Clippers,Utah,Oklahoma City,San Antonio,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2018,30,Golden State,Cleveland,Boston,Houston,Philadelphia,Toronto,Utah,New Orleans,Washington,Milwaukee,Indiana,Miami,San Antonio,Oklahoma City,Minnesota,Portland,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2017,30,Golden State,Cleveland,Boston,San Antonio,Washington,Toronto,Utah,Houston,Atlanta,Milwaukee,Indiana,Chicago,Clippers,Oklahoma City,Memphis,Portland,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2016,30,Cleveland,Golden State,Toronto,Oklahoma City,Miami,Atlanta,San Antonio,Portland,Boston,Charlotte,Indiana,Detroit,Houston,Memphis,Dallas,Clippers,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2015,30,Golden State,Cleveland,Atlanta,Houston,Washington,Chicago,Memphis,Clippers,Toronto,Milwaukee,Brooklyn,Boston,Portland,San Antonio,Dallas,New Orleans,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2014,30,San Antonio,Miami,Indiana,Oklahoma City,Brooklyn,Washington,Clippers,Portland,Chicago,Toronto,Charlotte,Atlanta,Dallas,Memphis,Golden State,Houston,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2013,30,Miami,San Antonio,Indiana,Memphis,New York,Chicago,Golden State,Oklahoma City,Brooklyn,Atlanta,Boston,Milwaukee,Houston,Lakers,Denver,Clippers,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2012,30,Miami,Oklahoma City,Boston,San Antonio,Philadelphia,Indiana,Lakers,Clippers,Atlanta,Orlando,New York,Chicago,Utah,Dallas,Denver,Memphis,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2011,30,Dallas,Miami,Chicago,Oklahoma City,Atlanta,Boston,Lakers,Memphis,Indiana,Philadelphia,New York,Orlando,San Antonio,New Orleans,Portland,Denver,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
2010,30,Lakers,Boston,Orlando,Phoenix,Atlanta,Cleveland,San Antonio,Utah,Chicago,Charlotte,Milwaukee,Miami,Dallas,Oklahoma City,Portland,Denver,"New Orleans,Memphis,Toronto,Minnesota,Orlando,Miami,Charlotte,Boston,Golden State,New York,Detroit,Lakers,Atlanta,Philadelphia,Sacramento,Washington,Chicago,Houston,Oklahoma City,Milwaukee,Phoenix,Cleveland,Clippers,Portland,Utah,Brooklyn,Denver,Indiana,San Antonio,Dallas",,
