Season,#ofTeams,Super Bowl,Runner-up,NFC Finalist,AFC Finalist,NFC Div Finalist1,NFC Div Finalist2,AFC Div Finalist1,AFC Div Finalist2,NFC Wild Card1,NFC Wild Card2,AFC Wild Card1,AFC Wild Card2,Est. Teams,SB - Cap Hit,Salary Cap,Cap%
2019,32,,,,,,,,,,,,,,,"$188,200,000.00",0.00%
2018,32,New England,Rams,New Orleans,Kansas City,Philadelphia,Dallas,Chargers,Indianapolis,Chicago,Seattle,Baltimore,Houston,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$175,954,265","$177,200,000.00",99.30%
2017,32,Philadelphia,New England,Minnesota,Jacksonville,Atlanta,New Orleans,Tennessee,Pittsburgh,Carolina,Rams,Kansas City,Buffalo,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$172,566,936","$167,000,000.00",103.33%
2016,32,New England,Atlanta,Green Bay,Pittsburgh,Dallas,Seattle,Kansas City,Houston,Detroit,Giants,Oakland,Miami,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$148,847,888","$155,270,000.00",95.86%
2015,32,Denver,Carolina,Arizona,New England,Green Bay,Seattle,Kansas City,Pittsburgh,Washington,Minnesota,Cincinnati,Houston,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$145,098,899","$143,280,000.00",101.27%
2014,32,New England,Seattle,Green Bay,Indianapolis,Dallas,Carolina,Baltimore,Denver,Detroit,Arizona,Cincinnati,Pittsburgh,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$134,321,836","$133,000,000.00",100.99%
2013,32,Seattle,Denver,San Francisco,New England,New Orleans,Carolina,Chargers,Indianapolis,Green Bay,Philadelphia,Cincinnati,Kansas City,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$133,725,554","$123,000,000.00",108.72%
2012,32,Baltimore,San Francisco,Atlanta,New England,Green Bay,Seattle,Houston,Denver,Minnesota,Washington,Cincinnati,Indianapolis,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$132,146,757","$120,600,000.00",109.57%
2011,32,Giants,New England,San Francisco,Baltimore,Green Bay,New Orleans,Houston,Denver,Detroit,Atlanta,Cincinnati,Pittsburgh,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas","$118,768,271","$120,000,000.00",98.97%
2010,32,Green Bay,Pittsburgh,Chicago,Jets,Atlanta,Seattle,New England,Baltimore,Philadelphia,New Orleans,Kansas City,Indianapolis,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,,
2009,32,New Orleans,Indianapolis,Minnesota,Jets,Arizona,Dallas,Chargers,Baltimore,Philadelphia,Green Bay,Cincinnati,New England,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,"$123,000,000.00",0.00%
2008,32,Pittsburgh,Arizona,Philadelphia,Baltimore,Carolina,Giants,Tennessee,Chargers,Atlanta,Minnesota,Indianapolis,Miami,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,"$116,000,000.00",0.00%
2007,32,Giants,New England,Green Bay,Chargers,Dallas,Seattle,Indianapolis,Jacksonville,Tampa Bay,Washington,Pittsburgh,Tennessee,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,"$109,000,000.00",0.00%
2006,32,Indianapolis,Chicago,New Orleans,New England,Seattle,Philadelphia,Baltimore,Chargers,Giants,Dallas,Jets,Kansas City,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,"$102,000,000.00",0.00%
2005,32,Pittsburgh,Seattle,Carolina,Denver,Chicago,Washington,New England,Indianapolis,Giants,Tampa Bay,Jacksonville,Cincinnati,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,"$85,500,000.00",
2004,32,New England,Philadelphia,Atlanta,Pittsburgh,Minnesota,Rams,Jets,Indianapolis,Green Bay,Seattle,Chargers,Denver,"Houston,Cleveland,Baltimore,Jacksonville,Carolina,Tampa Bay,Seattle,Cincinnati,New Orleans,New England,Denver,Kansas City,Buffalo,Oakland,Miami,Chargers,Jets,Atlanta,Indianapolis,Detroit,Chicago,Green Bay,Rams,Philadelphia,Giants,Tennessee,Minnesota,San Francisco,Arizona,Washington,Pittsburgh,Dallas",,"$80,582,000.00",
