Season,#ofTeams,Stanley Cup,Runner-up,East Conf Finalist,West Conf Finalist,East Div Finalist1,East Div Finalist2,West Div Finalist1,West Div Finalist2,East 1st Rnd1,East 1st Rnd2,East 1st Rnd3,East 1st Rnd4,West 1st Rnd1,West 1st Rnd2,West 1st Rnd3,West 1st Rnd4,Est. Teams,SC - Cap Hit,Salary Cap,Cap%,2nd - Cap Hit,2nd Cap%,%Difference
2019,31,St. Louis,Boston,Carolina,San Jose,Columbus,Islanders,Dallas,Colorado,Washington,Tampa Bay,Toronto,Pittsburgh,Vegas,Winnipeg,Calgary,Nashville,"Vegas,Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$79,264,670.00","$79,500,000.00",99.70%,"$76,665,895",96.44%,3.27%
2018,31,Washington,Vegas,Tampa Bay,Winnipeg,Pittsburgh,Boston,San Jose,Nashville,New Jersey,Philadelphia,Toronto,Columbus,Anaheim,Minnesota,Colorado,Los Angeles,"Vegas,Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$75,339,961.00","$75,000,000.00",100.45%,"$68,700,089",91.60%,8.85%
2017,30,Pittsburgh,Nashville,Ottawa,Anaheim,Washington,Rangers,Edmonton,St. Louis,Montreal,Boston,Toronto,Columbus,Chicago,Minnesota,Calgary,San Jose,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$77,649,912.00","$73,000,000.00",106.37%,"$69,429,301",95.11%,11.26%
2016,30,Pittsburgh,San Jose,Tampa Bay,St. Louis,Washington,Islanders,Nashville,Dallas,Philadelphia,Rangers,Detroit,Florida,Anaheim,Los Angeles,Minnesota,Chicago,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$73,751,100.00","$71,400,000.00",103.29%,"$71,151,220",99.65%,3.64%
2015,30,Chicago,Tampa Bay,Rangers,Anaheim,Washington,Montreal,Calgary,Minnesota,Islanders,Pittsburgh,Detroit,Ottawa,Vancouver,Winnipeg,Nashville,St. Louis,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$70,685,706.00","$69,000,000.00",102.44%,"$69,836,530",101.21%,1.23%
2014,30,Los Angeles,Rangers,Montreal,Chicago,Pittsburgh,Boston,Minnesota,Anaheim,Philadelphia,Tampa Bay,Detroit,Columbus,San Jose,Dallas,Colorado,St. Louis,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$64,391,803.00","$64,300,000.00",100.14%,"$64,093,628",99.68%,0.46%
2013,30,Chicago,Boston,Pittsburgh,Los Angeles,Ottawa,Rangers,Detroit,San Jose,Toronto,Washington,Montreal,Islanders,Minnesota,Anaheim,Vancouver,St. Louis,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$71,864,226.00","$70,200,000.00",102.37%,"$69,147,976",98.50%,3.87%
2012,30,Los Angeles,New Jersey,Rangers,Arizona,Washington,Philadelphia,Nashville,St. Louis,Ottawa,Boston,Florida,Pittsburgh,Vancouver,San Jose,Chicago,Detroit,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$73,743,200.00","$64,300,000.00",114.69%,"$66,068,336",102.75%,11.94%
2011,30,Boston,Vancouver,Tampa Bay,San Jose,Washington,Philadelphia,Nashville,Detroit,Rangers,Buffalo,Montreal,Pittsburgh,Chicago,Los Angeles,Arizona,Anaheim,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$65,898,200.00","$59,400,000.00",110.94%,"$59,399,000",100.00%,10.94%
2010,30,Chicago,Philadelphia,Montreal,San Jose,Pittsburgh,Boston,Detroit,Vancouver,Washington,New Jersey,Buffalo,Ottawa,Colorado,Nashville,Los Angeles,Arizona,"Minnesota,Columbus,Winnipeg,Nashville,Florida,Anaheim,Ottawa,Tampa Bay,San Jose,Carolina,Colorado,Edmonton,Arizona,Washington,New Jersey,Calgary,Islanders,Vancouver,Buffalo,St. Louis,Los Angeles,Dallas,Pittsburgh,Philadelphia,Detroit,Chicago,Rangers,Montreal,Toronto,Boston","$60,724,100.00","$56,800,000.00",106.91%,,0.00%,106.91%
